Week,Team,Probability,Matchup
Week 1,BUF,0.8255195147521007,ARI @ BUF
Week 2,MIN,0.7059926376190437,SF @ MIN
Week 3,NYJ,0.7499789452837,NE @ NYJ
Week 4,HOU,0.8089960614323558,JAX @ HOU
Week 5,SEA,0.8256059201008416,NYG @ SEA
Week 6,GB,0.7490966107756968,ARI @ GB
Week 7,LAR,0.8076791784227771,LV @ LAR
Week 8,PIT,0.8167976335252645,NYG @ PIT
Week 9,CIN,0.8115479690489557,LV @ CIN
Week 10,KC,0.8249859356378848,DEN @ KC
Week 11,DET,0.9271491332761176,JAX @ DET
Week 12,MIA,0.793638732120535,NE @ MIA
Week 13,DAL,0.7151847140533493,NYG @ DAL
Week 14,SF,0.7464939833376621,CHI @ SF
Week 15,ARI,0.8138313235640143,NE @ ARI
Week 16,BAL,0.7800915566542002,PIT @ BAL
Week 17,PHI,0.8912913501563663,DAL @ PHI
Week 18,ATL,0.7788539153167916,CAR @ ATL
